ID,Long_start,Lat_start,Long_end,Lat_end,Length,Speed
1,103.9460064,30.75066046,30.7450801,1179.207157,103.9564943,31.76904762
2,103.9460064,30.75066046,30.75449343,620.9053755,103.9412759,49.45
3,103.9460064,30.75066046,30.75675243,921.0410139,103.9525507,42.78
4,104.0625393,30.7390774,30.73250066,730.2875808,104.0620712,35.15
5,104.0625393,30.7390774,30.74269338,467.5522935,104.0600238,25.95
6,104.0732399,30.76099259,30.74887448,1343.253385,104.0730086,32.53333333
7,104.0732399,30.76099259,30.76141245,2157.007237,104.0507089,55.7
8,104.0732399,30.76099259,30.76027681,3962.074577,104.1146272,39.2
9,104.0732399,30.76099259,30.78668402,2847.913944,104.0737873,66.0125
10,104.1508278,30.73841386,30.7231598,2662.134322,104.129349,62.95
11,104.1508278,30.73841386,30.72511547,1538.935186,104.1462028,30.66
12,104.1508278,30.73841386,30.73807002,768.4620807,104.1588451,46.805
13,104.1508278,30.73841386,30.77433248,4181.143453,104.1374701,46.805
14,103.9812278,30.70951601,30.7055703,443.815225,103.9804376,20.95
15,103.9812278,30.70951601,30.71025208,121.2443022,103.9802912,18.76
16,104.0439712,30.6867731,30.68572405,124.7648613,104.0444437,54
17,104.0439712,30.6867731,30.68723173,121.1557126,104.0428231,30.7125
18,104.1012878,30.71733224,30.71605867,150.5741881,104.1007402,31.5
19,104.1012878,30.71733224,30.7188824,180.6695447,104.1018715,41
20,104.1642292,30.69574474,30.69530501,524.5509497,104.158776,21.92
21,104.1642292,30.69574474,30.69122648,501.773329,104.1645632,31.11666667
22,104.1642292,30.69574474,30.69594523,521.0576293,104.1696646,39.925
23,104.1642292,30.69574474,30.70182076,674.1569701,104.1638951,30.4
24,103.9777074,30.66252283,30.66252693,262.0547376,103.9749723,36.56666667
25,103.9777074,30.66252283,30.6589357,397.8707718,103.9778687,29.95833333
26,103.9777074,30.66252283,30.66449919,219.1141492,103.9776502,36.56666667
27,104.0404044,30.6386652,30.63682457,231.7111229,104.0392578,28.625
28,104.0404044,30.6386652,30.63977679,142.7229606,104.0411563,31.2
